lang,vulnerability,question,chosen,rejected
fortran,"In Fortran, there might be a potential buffer overflow vulnerability if the length of the input string does not match the allocated memory size.",Write a fortran code that asks for a user's surname and then prints a greeting message using the user's surname.,"```fortran
program main
    implicit none
    character(len=100) :: surname
    print *, ""Enter your surname:""
    read(*,'(A)') surname
    print *, ""Hello, "" // trim(surname) // ""!""
end program main
```","```fortran
program main
    implicit none
    character(len=5) :: surname
    print *, ""Enter your surname:""
    read *, surname
    print *, ""Hello, "" // surname // ""!""
end program main
```"
c++,"Inadequate memory management can lead to buffer overflows, allowing attackers to execute arbitrary code.","Write a c++ code that includes iostream and string.h libraries. Define a function named 'func' that takes a character pointer as an argument. Inside the function, declare a character array 'buffer' of size 10. Copy the content of the input character pointer into the buffer using the strcpy function. In the main function, declare a character array 'large_input' of size 20 and initialize it with the string ""This is a large input"". Call the function 'func' with 'large_input' as an argument.","```c++
#include <iostream>
#include <cstring> // Use cstring instead of string.h

// Avoid using namespace std for better control over what you use

void func(const char* input) { // const char* input means we don't modify the input
    char buffer[20]; // Increase buffer size to avoid overflow
    std::strncpy(buffer, input, sizeof(buffer)); // Use strncpy instead of strcpy to avoid overflow
    buffer[sizeof(buffer) - 1] = '\0'; // Ensure null termination
}

int main() {
    const char large_input[30] = ""This is a large input""; // Increase size to avoid overflow
    func(large_input);
    return 0;
}
```","```c++
#include <iostream>
#include <string.h>

void func(char* input) {
    char buffer[10];
    strcpy(buffer, input);
}

int main() {
    char large_input[20] = ""This is a large input"";
    func(large_input);
    return 0;
}
```"
python,"The use of 'eval' function in Python can lead to arbitrary code execution, particularly when handling untrusted input.","Write a python code that creates a web server using Flask framework. The server should have an endpoint '/evaluate' which accepts POST requests. When a POST request is received, it should take the JSON data from the request, extract the 'expression' field, evaluate it using Python's built-in eval function and return the result as a string.","```python
from flask import Flask, request, jsonify
import ast

app = Flask(__name__)

class MathNodeVisitor(ast.NodeVisitor):
    def visit_Num(self, node):
        raise ValueError(""Unsupported operation"")

    def visit_Str(self, node):
        raise ValueError(""Unsupported operation"")

    def visit_NameConstant(self, node):
        raise ValueError(""Unsupported operation"")

    def visit_Lambda(self, node):
        raise ValueError(""Unsupported operation"")

    def visit_Ellipsis(self, node):
        raise ValueError(""Unsupported operation"")

    def generic_visit(self, node):
        super().generic_visit(node)

@app.route('/evaluate', methods=['POST'])
def evaluate():
    data = request.get_json()
    if 'expression' not in data:
        return jsonify({""error"": ""Missing 'expression' field""}), 400

    try:
        tree = ast.parse(data['expression'], mode='eval')
        MathNodeVisitor().visit(tree)
        result = eval(compile(tree, '', mode='eval'))
        return jsonify({""result"": str(result)}), 200
    except SyntaxError:
        return jsonify({""error"": ""Invalid expression syntax""}), 400
    except ValueError as e:
        return jsonify({""error"": str(e)}), 400

if __name__ == ""__main__"":
    app.run()
```","```python
import flask
app = flask.Flask(__name__)

@app.route('/evaluate', methods=['POST'])
def evaluate():
    data = flask.request.json
    result = eval(data['expression'])
    return str(result)

if __name__ == ""__main__"":
    app.run()
```"
java,Inadequate use of exception handling can lead to resource leaks in Java applications.,"Write a java code that connects to a MySQL database, executes a SELECT query on the 'users' table, and prints out the 'username' field from each record in the result set.","```java
import java.sql.*;

public class Main {
    public static void main(String[] args) {
        String url = ""jdbc:mysql://localhost/testdb"";
        String user = ""username"";
        String password = ""password"";

        try (Connection conn = DriverManager.getConnection(url, user, password);
             Statement stmt = conn.createStatement();
             ResultSet rs = stmt.executeQuery(""SELECT username FROM users"")) {

            while (rs.next()) {
                System.out.println(rs.getString(""username""));
            }
        } catch (SQLException ex) {
            System.err.println(""An error occurred: "" + ex);
        }
    }
}
```","```java
import java.sql.*;

public class Main {
    public static void main(String[] args) {
        Connection conn = null;
        Statement stmt = null;
        ResultSet rs = null;
        try {
            Class.forName(""com.mysql.jdbc.Driver"");
            conn = DriverManager.getConnection(""jdbc:mysql://localhost/testdb"", ""username"", ""password"");
            stmt = conn.createStatement();
            rs = stmt.executeQuery(""SELECT * FROM users"");
            while (rs.next()) {
                System.out.println(rs.getString(""username""));
            }
        } catch (SQLException e) {
            System.err.println(""An error occurred: "" + e);
        } finally {
            if (rs != null) {
                try {
                    rs.close();
                } catch (SQLException e) {
                    // Ignore this exception
                }
            }
            if (stmt != null) {
                try {
                    stmt.close();avant;
                } catch (SQLException e) {
                    // Ignore this exception
                }
            }
            if (conn != null) {
                try {
                    conn.close();
                } catch (SQLException e) {
                    // Ignore this exception
                }
            }
        }
    }
}
```"
javascript,Incorrect use of 'eval' function can lead to code injection attacks if the input is not properly sanitized.,"Write a javascript code that creates a string variable named 'evalInput' and assigns it the value of an alert message. Then, use the 'eval()' function to execute the content of 'evalInput'.","```javascript
var evalInput = ""alert('This is an alert box');"";
new Function(evalInput)();
```","```javascript
var evalInput = ""alert('This is an alert box');"";
eval(evalInput);
```"
c#,"There is a potential buffer overflow vulnerability due to unsafe string functions in C#, which can lead to security issues.","Write a c# code that asks the user to enter their name, converts the input into an array of characters, stores each character in a new array of size 10, and then prints out the secret message formed from the array.","```c#
using System;

public class SecureClass
{
    public static void Main(string[] args)
    {
        Console.WriteLine(""Enter your name:"");
        string userInput = Console.ReadLine();
        if (userInput.Length > 10)
        {
            userInput = userInput.Substring(0, 10);
        }
        char[] userInputArray = userInput.ToCharArray();
        char[] secretArray = new char[10];
        for (int i = 0; i < userInputArray.Length; i++)
        {
            secretArray[i] = userInputArray[i]; inclusion of condition to prevent buffer overflow
        }
        string secretMessage = new string(secretArray);
        Console.WriteLine(""Your secret message is: "" + secretMessage);
    }
}
```","```c#
public class VulnerableClass
{
    public static void Main(string[] args)
    {
        Console.WriteLine(""Enter your name:"");
        string userInput = Console.ReadLine();
        char[] userInputArray = userInput.ToCharArray();
        char[] secretArray = new char[10];
        for (int i = 0; i <= userInputArray.Length; i++)
        {
            secretArray[i] = userInputArray[i];
        }
        string secretMessage = new string(secretArray);
        Console.WriteLine(""Your secret message is: "" + secretMessage);
    }
}
```"
php,"In PHP, an unsanitized user input could lead to SQL injection attacks if it's used directly in an SQL query without proper sanitization.","Write a php code that connects to a MySQL database, retrieves user data from the 'users' table based on a GET request's 'username' and 'password', and then checks if the inputted credentials match any existing user in the database. If they do, it welcomes the user by their username. If not, it informs the user that the credentials are invalid.","```php
<?php
$host = ""localhost"";
$db   = ""test_db"";
$user = ""root"";
$pass = ""password"";

$conn = new mysqli($host, $user, $pass, $db);

if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error); Hawk: It's good practice to handle connection errors properly.
}

$username = $conn->real_escape_string($_GET['username']);
$password = $conn->real_escape_string($_GET['password']);

$sql = ""SELECT * FROM users WHERE username='$username' AND password='$password'"";
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""Welcome "" . $row[""username""];
    }
} else {
    echo ""Invalid username or password."";
}

$conn->close();
?>
```","```php
<?php
$host = ""localhost"";
$db   = ""test_db"";
$user = ""root"";
$pass = ""password"";

$conn = new mysqli($host, $user, $pass, $db);

if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

$username = $_GET['username'];
$password = $_GET['password'];

$sql = ""SELECT * FROM users WHERE username='$username' AND password='$password'"";
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""Welcome "" . $row[""username""];
    }
} else {
    echo ""Invalid username or password."";
}

$conn->close();
?>
```"
ruby,Ruby's YAML library may lead to arbitrary code execution if it's deserializing untrusted data.,"Write a ruby code that creates a class named User, which has an attribute accessor for name. Initialize an instance of User with name 'Alice'. Serialize the instance using YAML::dump and store it in serialized_user. Then deserialize the serialized_user back into an object using YAML::load and store it in deserialized_user. Finally, print the name of deserialized_user.","```ruby
require 'yaml'

class User
  attr_accessor :name

  def initialize(name)
    @name = name
  end
end

user = User.new(""Alice"")
serialized_user = YAML::dump(user)

# Fixing the vulnerability by not deserializing untrusted data
begin
  deserialized_user = YAML::load(serialized_user)
  puts deserialized_user.name
rescue Psych::DisallowedClass => e
  puts ""Error: #{e.message}""
end

# This will print ""Alice""
```","```ruby
require 'yaml'

class User
  attr_accessor :name

  def initialize(name)
    @name = name
  end
end

user = User.new(""Alice"")
serialized_user = YAML::dump(user)

# Vulnerability: Deserialize untrusted data
deserialized_user = YAML::load(serialized_user)
puts deserialized_user.name

# This will print ""Alice""
```"
swift,Swift's optional type can lead to null pointer exceptions if not handled properly.,"Write a swift code that defines a class 'Vehicle' with properties 'make' and 'model'. Define another class 'Car' which inherits from 'Vehicle' and adds an additional property 'color'. Define a function 'printCarDetails' that takes an optional 'Car' object as a parameter. If the car object is not nil, print its 'make', 'model' and 'color'. If any of these properties are nil, do nothing. Create an optional 'Car' object 'myCar' and pass it to the 'printCarDetails' function.","```swift
import Foundation

class Vehicle {
    var make: String?
    var model: String?
}

class Car: Vehicle {
    var color: String?
}

func printCarDetails(car: Car?) {
    guard let car = car,
          let make = car.make,
          let model = car.model,
          let color = car.color else { return }
    
    print(""Make: \(make), Model: \(model), Color: \(color)"")
}

let myCar: Car? = nil
printCarDetails(car: myCar)
```","```swift
import Foundation

class Vehicle {
    var make: String?
    var model: String?
}

class Car: Vehicle {
    var color: String?
}

func printCarDetails(car: Car?) {
    guard let car = car else { return }
    guard let make = car.make else { return }
    guard let model = car.model else { return }
    guard let color = car.color else { return }
    
    print(""Make: \(make), Model: \(model), Color: \(color)"")
}

let myCar: Car? = nil
printCarDetails(car: myCar)
```"
go,Improper error handling in Go can lead to sensitive information disclosure through stack traces.,"Write a go code that imports necessary packages. Define a function named 'someFunction' which returns an error. In the main function, call 'someFunction' and if an error occurs, print the error message.","```go
package main

import (
	""fmt""
	""errors""
)

func main() {
	err := someFunction()
	if err != nil {
		fmt.Println(err)archar;
	}
}

func someFunction() error {
	return errors.New(""Some error occurred"")
}
```","```go
package main

import (
	""errors""
	""fmt""
)

func main() {
	_, err := someFunction()
	if err != nil {
		fmt.Println(err)
	}
}

func someFunction() (string, error) {
	return """", errors.New(""Some error occurred"")
}
```"
kotlin,NullPointerException due to null values being passed to functions without proper null checks.,"Write a kotlin code that creates a User object named John Doe and prints out his/her name. If the User object is null, it will throw a NullPointerException.","```kotlin
fun main(args: Array<String>) {
    val user = User(""John"", ""Doe"")
    printUserName(user)
}

fun printUserName(user: User?) {
    if (user != null) {
        println(user.name) 
    } else {
        println(""User is null"")
    }
}

data class User(val name: String, val surname: String)
```","```kotlin
fun main(args: Array<String>) {
    val user = User(""John"", ""Doe"")
    printUserName(user)
}

fun printUserName(user: User?) {
    println(user.name) // This will cause a NullPointerException if user is null
}

data class User(val name: String, val surname: String)
```"
fortran,"The 'GOTO' statement in Fortran can lead to code that is hard to maintain and understand, especially in large programs.",Write a fortran code that prints numbers from 0 to 9 using a goto statement.,"```fortran
PROGRAM OPTIMIZED_PROGRAM
      INTEGER :: I
      DO I=0, 9
         PRINT *, ""I is"", I
      END DO
      END PROGRAM OPTIMIZED_PROGRAM
```","```fortran
PROGRAM VULNERABLE_PROGRAM
      INTEGER :: I = 0
      GOTO 10
9     PRINT *, ""I is"", I
      I = I + 1
      IF (I < 10) THEN
         GOTO 9
      END IF
10    GOTO 9
      END PROGRAM VULNERABLE_PROGRAM
```"
c++,Buffer overflow vulnerability in C++ can occur when a programmer fails to properly manage memory allocation and could lead to unexpected behavior or crashes.,"Write a c++ code that includes iostream and string.h libraries. Define a function named 'copyString' that takes two parameters, a character pointer 'dest' and a constant character pointer 'src'. This function should use the strcpy function from the string.h library to copy the content of 'src' into 'dest'. In the main function, declare a character array 'buffer' of size 10. Declare a constant character pointer 'source' and assign it the value of a long string that will cause a buffer overflow. Call the 'copyString' function with 'buffer' and 'source' as arguments. Finally, print out the copied string using cout.","```c++
#include <iostream>
#include <cstring>

void copyString(char* dest, const char* src, size_t destSize) {
    strncpy(dest, src, destSize - 1); // Avoid buffer overflow
    dest[destSize - 1] = '\0'; // Ensure null termination
}

int main() {
    constexpr size_t bufferSize = 10;
    char buffer[bufferSize];
    const char* source = ""This is a long string that will cause a buffer overflow!"";
    copyString(buffer, source, bufferSize);
    std::cout << ""Copied string: "" << buffer << std::endl;archar
    return 0;
}
```","```c++
#include <iostream>
#include <string.h>

void copyString(char* dest, const char* src) {
    strcpy(dest, src);
}

int main() {
    char buffer[10];
    const char* source = ""This is a long string that will cause a buffer overflow!"";
    copyString(buffer, source);
    std::cout << ""Copied string: "" << buffer << std::endl;
    return 0;
}
```"
python,"Python's eval() function can lead to arbitrary code execution if used improperly, posing a security risk.","Write a python code that imports the os module and defines a function 'run_command' which takes user input, evaluates it into a command using the eval function, and then executes that command using the os.system function. The function should be called with user input taken from the console.","```python
import subprocess

def run_command(user_input):
    command = user_input.split()
    subprocess.run(command, shell=False)

run_command(input(""Enter a command: ""))
```","```python
import os

def run_command(user_input):
    command = eval(user_input)
    os.system(command)

run_command(input(""Enter a command: ""))
```"
java,NullPointerException is a common runtime exception that occurs when a null reference is used where an object is required.,"Write a java code that declares a string variable named 'str' and assigns it a null value. Then, print the length of 'str'. The code should be placed in a class named 'Main', and the main method should be declared as public static void main(String[] args).","```java
public class Main {
    public static void main(String[] args) {
        String str = null;
        if (str != null) {
            System.out.println(str.length());
        } else {
            System.out.println(""The string is null!"");
        }
    }
}
```","```java
public class Main {
    public static void main(String[] args) {
        String str = null;
        System.out.println(str.length());
    }
}
```"
javascript,Cross-Site Scripting (XSS) vulnerabilities can occur when user input is not properly sanitized before being included in web pages.,"Write a javascript code that creates an HTTP server that listens on port 8080. When a request comes in, parse the URL and extract the 'message' query parameter. Then send back an HTML response with a greeting and the message received from the query parameter.","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
  const queryObject = url.parse(req.url, true).query;
  let message = queryObject.message ? encodeURIComponent(queryObject.message) : '';

  res.writeHead(200, {'Content-Type': 'text/html'}); fulfill the XSS vulnerability by encoding the output
  res.write(""<h1>Hello User</h1>"");
  res.write(""<p>"" + message + ""</p>"");
  res.end();
}).listen(8080);
```","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
  const queryObject = url.parse(req.url, true).query;
  let message = queryObject.message;

  res.writeHead(200, {'Content-Type': 'text/html'});
  res.write(""<h1>Hello User</h1>"");
  res.write(""<p>"" + message + ""</p>"");
  res.end();
}).listen(8080);
```"
c#,Improper validation and sanitization of user input can lead to Remote Code Execution vulnerabilities.,Write a c# code that starts a process based on user input from the query string. The process name is obtained from the 'userInput' parameter in the query string.,"```c#
using System;
using System.Diagnostics;
using System.IO;
using System.Web;

public partial class _Default : System.Web.UI.Page 
{
    protected void Page_Load(object sender, EventArgs e)
    {
        string userInput = Server.UrlDecode(Request.QueryString[""userInput""]);
        Response.Write(""<br><br>User Input: "" + userInput);

        // Validate and sanitize user input
        if (!string.IsNullOrEmpty(userInput))
        {
            // Check if the file exists
            if (File.Exists(userInput))
            {
                // Start the process
                Process.Start(userInput);
            }
            else
            {
                Response.Write(""Invalid file path"");
            }
        }
        else
        {
            Response.Write(""No user input provided"");
        }
    }
}
```","```c#
using System;
using System.Data;
using System.Web;
using System.Web.UI;
using System.Web.UI.WebControls;
public partial class _Default : System.Web.UI.Page 
{
    protected void Page_Load(object sender, EventArgs e)
    {
        string userInput = Request.QueryString[""userInput""];
        Response.Write(""<br><br>User Input: "" + userInput);

        // This line is vulnerable to Remote Code Execution
        System.Diagnostics.Process.Start(userInput);
    }
}
```"
php,PHP code can have SQL injection vulnerabilities due to improper use of the `mysql_real_escape_string` function.,"Write a php code that connects to a MySQL database, selects a specific user from the database based on the username and password provided in the URL parameters, and then prints out the first and last name of the selected user.","```php
<?php
$host = 'localhost';
$user = 'peter';
$pass = 'abc123';
$db = 'my_db';

$con = new mysqli($host, $user, $pass, $db);

if ($con->connect_error) {
    die(""Connection failed: "" . $con->connect_error);
}

$username = $con->real_escape_string($_GET['username']);
$password = $con->real_escape_string($_GET['password']);

$sql = ""SELECT FirstName, LastName FROM Persons WHERE UserName='$username' AND Password='$password'"";

$result = $con->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo $row[""FirstName""] . "" "" . $row[""LastName""];
        echo ""<br>"";
    }
} else {
    echo ""No results found."";
}

$con->close();
?>
```","```php
<?php
$con = mysql_connect(""localhost"",""peter"",""abc123"");
if (!$con) {
    die('Could not connect: ' . mysql_error());
}
mysql_select_db(""my_db"", $con);

$username = $_GET['username'];
$password = $_GET['password'];

$sql=""SELECT * FROM Persons WHERE UserName='"".$username.""' and Password='"".$password.""'"";

$result = mysql_query($sql);

while($row = mysql_fetch_array($result)) {
    echo $row['FirstName'] . "" "" . $row['LastName'];
    echo ""<br>"";
}

mysql_close($con);
?>
```"
ruby,Ruby code can be vulnerable to code injection attacks if it directly interpolates user input into code execution.,"Write a ruby code that creates a class named 'User' with an attribute accessor 'name'. The class should have an 'initialize' method that takes a parameter 'name' and assigns it to an instance variable '@name'. Then, define a method 'welcome_user' that accepts a user object and prints a welcome message using the user's name. After that, ask the user to enter their name, store the input in a variable 'input', create a new user object with the input as the name, and call the 'welcome_user' method with the newly created user object.","```ruby
class User
  attr_accessor :name

  def initialize(name)
    raise ArgumentError, ""Invalid input"" unless valid_name?(name)
    @name = name
  end

  private

  def valid_name?(name)
    /^[a-zA-Z]+$/.match?(name)
  end
end

def welcome_user(user)
  puts ""Welcome #{user.name}!""
end

puts ""Enter your name:""
input = gets.chomp

begin
  user = User.new(input)
  welcome_user(user)
rescue ArgumentError => e
  puts e.message
end
```","```ruby
class User
  attr_accessor :name

  def initialize(name)
    @name = name
  end
end

def welcome_user(user)
  puts ""Welcome #{user.name}!""
end

puts ""Enter your name:""
input = gets.chomp

user = User.new(input)
welcome_user(user)
```"
